ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
1,SL Malinga (SL),2006-2019,79,79, 284.50 ,1,2061,106,6-May,19.44,7.23,16.1,1,2
2,Shahid Afridi (ICC/PAK),2006-2018,99,97, 361.20 ,4,2396,98,11-Apr,24.44,6.63,22.1,3,0
3,Shakib Al Hasan (BDESH),2006-2019,76,75, 277.50 ,2,1894,92,20-May,20.58,6.81,18.1,3,1
4,Saeed Ajmal (PAK),2009-2015,64,63, 238.20 ,2,1516,85,19-Apr,17.83,6.36,16.8,4,0
5,Umar Gul (PAK),2007-2016,60,60, 200.30 ,2,1443,85,6-May,16.97,7.19,14.1,4,2
6,Rashid Khan (AFG/ICC),2015-2019,45,45, 171.00 ,1,1052,84,3-May,12.52,6.15,12.2,3,2
7,GH Dockrell (IRE),2010-2019,73,69, 221.20 ,1,1539,75,20-Apr,20.52,6.95,17.7,1,0
8,TG Southee (NZ),2008-2019,66,64, 233.30 ,2,1954,75,18-May,26.05,8.36,18.6,0,1
9,Mohammad Nabi (AFG),2010-2019,75,75, 256.40 ,5,1839,69,10-Apr,26.65,7.16,22.3,3,0
10,KMDN Kulasekara (SL),2008-2017,58,58, 205.10 ,6,1530,66,Apr-31,23.18,7.45,18.6,2,0
11,BAW Mendis (SL),2008-2014,39,39, 147.30 ,5,952,66,8-Jun,14.42,6.45,13.4,3,2
12,SCJ Broad (ENG),2006-2014,56,55, 195.30 ,2,1491,65,24-Apr,22.93,7.62,18,1,0
13,Imran Tahir (SA/World),2013-2019,38,38, 140.50 ,0,948,63,23-May,15.04,6.73,13.4,2,2
14,DW Steyn (SA),2007-2019,44,44, 157.10 ,3,1068,61,9-Apr,17.5,6.79,15.4,2,0
15,Mohammad Amir (PAK),2009-2019,48,48, 175.40 ,5,1224,59,13-Apr,20.74,6.96,17.8,1,0
16,NL McCullum (NZ),2007-2016,63,59, 187.10 ,0,1278,58,16-Apr,22.03,6.82,19.3,2,0
17,KJ O'Brien (IRE),2008-2019,90,51, 150.30 ,0,1134,58,Apr-45,19.55,7.53,15.5,1,0
18,S Badree (WI/World),2012-2018,52,52, 191.00 ,4,1180,56,15-Apr,21.07,6.17,20.4,1,0
19,CJ Jordan (ENG),2014-2019,43,43, 151.30 ,0,1300,54,6-Apr,24.07,8.58,16.8,2,0
20,Mohammad Hafeez (PAK),2006-2018,89,67, 186.10 ,2,1226,54,10-Apr,22.7,6.58,20.6,1,0
21,Sohail Tanvir (PAK),2007-2017,57,57, 202.20 ,3,1454,54,12-Mar,26.92,7.18,22.4,0,0
22,RE van der Merwe (NL/SA),2009-2019,43,42, 149.10 ,1,938,54,Apr-35,17.37,6.28,16.5,1,0
23,WB Rankin (ENG/IRE),2009-2019,48,47, 170.00 ,2,1138,53,16-Mar,21.47,6.69,19.2,0,0
24,PM Seelaar (NL),2008-2019,69,58, 172.30 ,3,1190,53,19-Apr,22.45,6.89,19.5,1,0
25,R Ashwin (INDIA),2010-2017,46,46, 171.00 ,2,1193,52,8-Apr,22.94,6.97,19.7,2,0
26,DJ Bravo (WI),2006-2016,66,56, 173.40 ,0,1470,52,28-Apr,28.26,8.46,20,2,0
27,YS Chahal (INDIA),2016-2019,36,36, 140.30 ,1,1139,52,25-Jun,21.9,8.1,16.2,2,1
28,Mustafizur Rahman (BDESH),2015-2019,37,37, 135.10 ,3,1065,52,22-May,20.48,7.87,15.5,1,1
29,SP Narine (WI),2012-2019,51,49, 183.40 ,1,1105,52,12-Apr,21.25,6.01,21.1,1,0
30,JJ Bumrah (INDIA),2016-2019,42,42, 153.10 ,5,1029,51,11-Mar,20.17,6.71,18,0,0
31,NLTC Perera (ICC/SL/World),2010-2019,79,64, 175.40 ,1,1628,51,24-Mar,31.92,9.26,20.6,0,0
32,GP Swann (ENG),2008-2012,39,38, 135.00 ,4,859,51,13-Mar,16.84,6.36,15.8,0,0
33,MJ Santner (NZ),2015-2019,39,38, 128.50 ,1,928,49,11-Apr,18.93,7.2,15.7,1,0
34,SM Sharif (SCOT),2012-2019,42,41, 143.50 ,0,1185,49,24-Apr,24.18,8.23,17.6,1,0
35,SR Watson (AUS),2006-2016,58,49, 155.00 ,2,1187,48,15-Apr,24.72,7.65,19.3,1,0
36,M Morkel (SA/World),2007-2017,44,44, 158.40 ,3,1191,47,17-Apr,25.34,7.5,20.2,2,0
37,IS Sodhi (NZ),2014-2019,40,39, 138.30 ,0,1131,47,18-Mar,24.06,8.16,17.6,0,0
38,PA van Meekeren (NL),2013-2019,41,39, 136.10 ,2,945,47,11-Apr,20.1,6.94,17.3,2,0
39,Shadab Khan (PAK),2017-2019,38,36, 135.30 ,1,948,46,14-Apr,20.6,6.99,17.6,1,0
40,Bilal Khan (OMAN),2015-2019,32,31, 111.00 ,2,778,45,19-Apr,17.28,7,14.8,3,0
41,MRJ Watt (SCOT),2015-2019,35,33, 125.00 ,2,903,45,27-May,20.06,7.22,16.6,0,1
42,Abdur Razzak (BDESH),2006-2014,34,33, 121.40 ,4,838,44,16-Apr,19.04,6.88,16.5,1,0
43,Ahsan Malik (NL),2012-2017,31,29, 95.50 ,1,730,44,19-May,16.59,7.61,13,1,1
44,DJG Sammy (WI/World),2007-2017,68,59, 152.40 ,0,1116,44,26-May,25.36,7.31,20.8,1,1
45,Mudassar Bukhari (NL),2008-2016,38,35, 117.20 ,4,780,43,7-Apr,18.13,6.64,16.3,3,0
46,KD Mills (NZ),2005-2014,42,42, 149.30 ,1,1228,43,26-Mar,28.55,8.21,20.8,0,0
